RAVE/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:47:48.720971+00:00", "2026-09-15T20:47:48.720971+00:00"]
RIF/USDT|mean_reversion_v1|{"rsi_oversold": 40.0, "min_confidence": 0.45, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:49:22.800635+00:00", "2026-09-15T20:49:22.800635+00:00"]
RPL/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T23:22:28.992643+00:00", "2026-09-15T23:22:28.992643+00:00"]
SANTOS/USDT|mean_reversion_v1|{"rsi_oversold": 30.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:50:50.061453+00:00", "2026-09-15T20:50:50.061453+00:00"]
SIREN/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:51:35.542529+00:00", "2026-09-15T20:51:35.542529+00:00"]
SIREN/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.65, "volume_ratio_min": 0.8}|["2026-05-20T20:51:35.542529+00:00", "2026-09-15T20:51:35.542529+00:00"]
SKR/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:52:21.392793+00:00", "2026-09-15T20:52:21.392793+00:00"]
SKR/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:52:21.392793+00:00", "2026-09-15T20:52:21.392793+00:00"]
SKYAI/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:53:07.022033+00:00", "2026-09-15T20:53:07.022033+00:00"]
SKYAI/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.65, "volume_ratio_min": 0.8}|["2026-05-20T20:53:07.022033+00:00", "2026-09-15T20:53:07.022033+00:00"]
